country_code,date,new_confirmed,cumulative_confirmed,new_deceased,cumulative_deceased,population
US,2022-04-14,52,19872,0,425,97748
US,2022-04-14,-2,10598,0,180,42903
US,2022-04-14,1,9685,0,142,40858
US,2022-04-14,6,20587,2,498,92308
US,2022-04-14,1,3026,0,38,11303
US,2022-04-14,2,7599,0,93,51724
US,2022-04-14,20,44518,1,733,186828
US,2022-04-14,7,40335,0,692,154376
US,2022-04-14,1,11250,0,238,51790
US,2022-04-14,17,50903,0,651,207075
US,2022-04-14,0,41465,0,437,168325
US,2022-04-14,0,15839,0,224,61826
US,2022-04-14,0,8539,0,161,31295
US,2022-04-14,0,800,0,9,3679
US,2022-04-14,0,681,0,16,2927
US,2022-04-14,0,245,0,3,1398
US,2022-04-14,0,5842,0,96,17154
US,2022-04-14,0,5177,0,84,14436
US,2022-04-14,0,3204,0,63,11702
US,2022-04-14,0,9534,1,237,58175
US,2022-04-14,0,98,0,2,670
US,2022-04-14,0,1950,0,48,5830
US,2022-04-14,2,3866,0,82,19649
US,2022-04-14,0,5839,0,93,19895
US,2022-04-14,1,1356,0,3,5716
US,2022-04-14,1,6806,0,184,35817
US,2022-04-14,0,223,0,9,2260
US,2022-04-14,19,43299,0,733,167012
US,2022-04-14,12,35400,0,536,122628
US,2022-04-14,0,10577,0,143,27043
US,2022-04-14,97,100190,0,402,346658
US,2022-04-14,6,8030,0,71,35228
US,2022-04-14,2,2259,0,32,10969
US,2022-04-14,68,30723,1,186,159215
US,2022-04-14,11,42257,0,470,244543
US,2022-04-14,12,9512,0,69,35675
US,2022-04-14,27,22289,0,184,88443
US,2022-04-14,7,11562,0,73,42016
US,2022-04-14,25,56419,0,688,195825
US,2022-04-14,65,112584,0,1091,400899
US,2022-04-14,1,9581,0,182,33028
US,2022-04-14,2,6645,0,92,26806
US,2022-04-14,0,26126,0,290,98377
BR,2022-04-14,0,560,0,17,11047
BR,2022-04-14,0,4888,0,93,60378
BR,2022-04-14,0,911,0,19,10961
BR,2022-04-14,0,2623,0,19,9467
BR,2022-04-14,0,2296,0,47,24481
BR,2022-04-14,0,2062,0,42,17079
BR,2022-04-14,0,1254,0,19,11527
BR,2022-04-14,0,637,0,7,8899
BR,2022-04-14,0,666,0,2,5041
BR,2022-04-14,0,695,0,4,5255
BR,2022-04-14,0,2595,0,31,27466
BR,2022-04-14,1,2189,0,31,18127
BR,2022-04-14,0,482,0,10,8031
BR,2022-04-14,0,17238,0,156,60105
BR,2022-04-14,0,1319,0,14,8782
BR,2022-04-14,0,5622,0,88,44701
BR,2022-04-14,1,474,0,9,7775
BR,2022-04-14,0,854,0,12,12592
BR,2022-04-14,0,1869,0,32,20013
BR,2022-04-14,0,2803,0,78,19837
BR,2022-04-14,13,12205,0,178,69159
BR,2022-04-14,0,1834,0,22,10491
BR,2022-04-14,0,7654,0,167,60158
BR,2022-04-14,0,968,0,13,9095
BR,2022-04-14,1,3913,0,61,31090
BR,2022-04-14,-2,1748,0,39,18088
BR,2022-04-14,0,1193,0,19,8226
BR,2022-04-14,1,7252,0,83,31091
BR,2022-04-14,1,2713,0,37,9850
BR,2022-04-14,0,687,0,4,3503
BR,2022-04-14,1,1021,0,12,3325
BR,2022-04-14,4,17945,0,310,59549
BR,2022-04-14,0,1821,0,17,12427
BR,2022-04-14,2,4403,0,70,19153
BR,2022-04-14,0,1220,0,18,7882
BR,2022-04-14,0,710,0,8,4414
BR,2022-04-14,1,775,0,8,5007
BR,2022-04-14,0,908,0,14,3849
BR,2022-04-14,1,363,1,6,2062
BR,2022-04-14,1,6043,1,94,24026
BR,2022-04-14,0,410,0,11,3541
BR,2022-04-14,0,1021,0,11,10766
BR,2022-04-14,0,2261,0,21,22899
BR,2022-04-14,0,23921,10,914,247505
BR,2022-04-14,0,2261,-1,23,19708
BR,2022-04-14,0,632,-4,26,39576
BR,2022-04-14,0,4977,-1,23,33607
BR,2022-04-14,0,2317,0,35,49412
BR,2022-04-14,0,541,0,6,4444
BR,2022-04-14,0,2117,0,30,13049
BR,2022-04-14,0,1212,0,16,5338
BR,2022-04-14,0,368,0,4,3793
BR,2022-04-14,0,1345,0,22,9030
BR,2022-04-14,0,3289,0,64,21705
BR,2022-04-14,2,2047,0,30,12949
BR,2022-04-14,0,1522,0,24,26033
BR,2022-04-14,0,514,0,13,7024
BR,2022-04-14,1,1989,0,38,9299
BR,2022-04-14,0,438,0,9,2470
BR,2022-04-14,0,1399,0,50,24912
BR,2022-04-14,0,14852,0,296,53468
BR,2022-04-14,0,110,0,5,2283
BR,2022-04-14,0,4983,1,46,14945
BR,2022-04-14,0,498,0,2,4376
BR,2022-04-14,0,3643,0,84,22202
BR,2022-04-14,0,667,0,18,6234
BR,2022-04-14,0,609,0,8,6321
BR,2022-04-14,0,702,0,14,2788
BR,2022-04-14,0,1248,0,34,21026
BR,2022-04-14,1,73189,0,1036,361915
BR,2022-04-14,0,441,0,5,4963
BR,2022-04-14,0,5985,0,80,31568
BR,2022-04-14,-2,201,0,3,5934
BR,2022-04-14,0,270,0,6,2079
BR,2022-04-14,0,366,0,14,2841
BR,2022-04-14,0,2602,0,51,10384
BR,2022-04-14,2,24029,0,559,152435
BR,2022-04-14,0,638,0,8,5217
BR,2022-04-14,0,872,0,29,7682
BR,2022-04-14,0,401,0,1,4135
BR,2022-04-14,0,1465,0,19,6778
BR,2022-04-14,0,353,0,1,4198
BR,2022-04-14,0,687,0,11,5040
BR,2022-04-14,2,1006,0,10,5676
BR,2022-04-14,0,424,0,4,2163
BR,2022-04-14,2,6929,0,94,30663
BR,2022-04-14,0,1342,0,14,7259
BR,2022-04-14,20,15241,1,171,49164
BR,2022-04-14,0,5634,0,55,18656
BR,2022-04-14,1,8486,0,152,31589
BR,2022-04-14,0,2989,0,42,18178
BR,2022-04-14,0,1212,0,28,8171
BR,2022-04-14,0,3614,0,58,14493
BR,2022-04-14,1,3222,0,80,15002
BR,2022-04-14,0,1579,0,43,11609
BR,2022-04-14,0,5163,0,145,30812
BR,2022-04-14,0,1329,0,20,5240
BR,2022-04-14,0,2751,0,23,8093
BR,2022-04-14,0,656,0,3,3431
BR,2022-04-14,0,1100,0,46,26605
BR,2022-04-14,82,61747,0,526,153908
BR,2022-04-14,0,983,0,13,17206
BR,2022-04-14,0,1767,0,38,18201
BR,2022-04-14,0,3738,0,48,21400
BR,2022-04-14,1,1331,0,15,7538
BR,2022-04-14,0,853,0,13,5613
BR,2022-04-14,0,317,0,3,2702
BR,2022-04-14,0,733,0,9,4508
BR,2022-04-14,0,899,0,18,10326
BR,2022-04-14,0,171,0,2,1699
BR,2022-04-14,0,1117,0,14,11976
BR,2022-04-14,0,427,0,4,2638
BR,2022-04-14,0,341,0,5,3235
BR,2022-04-14,0,3387,0,43,16060
BR,2022-04-14,0,2311,0,66,33095
BR,2022-04-14,2,2743,0,50,52105
BR,2022-04-14,0,788,0,30,15773
BR,2022-04-14,0,1892,0,28,16007
BR,2022-04-14,0,990,0,16,13371
BR,2022-04-14,0,188,0,2,2440
BR,2022-04-14,0,183,0,4,6015
BR,2022-04-14,0,254,0,2,5408
BR,2022-04-14,0,852,0,30,10953
BR,2022-04-14,0,442,0,17,10212
BR,2022-04-14,0,1059,0,13,9981
BR,2022-04-14,0,509,0,3,4183
BR,2022-04-14,0,2945,0,93,37767
BR,2022-04-14,0,1091,0,11,11117
BR,2022-04-14,0,206,0,27,10678
BR,2022-04-14,0,1319,0,18,19785
BR,2022-04-14,0,196,0,3,2110
BR,2022-04-14,0,204,0,12,4913
